Film Name
Boyz N the Hood
Brandy in the Wilderness
Breakfast at Tiffany’s
The Bride of Frankenstein
The Bridge on the River Kwai
Bringing Up Baby
Broken Blossoms
A Bronx Morning
The Buffalo Creek Flood: An Act of Man
Bullitt
Butch Cassidy and the Sundance Kid
Cabaret
The Cameraman
Carmen Jones
Casablanca
Castro Street (The Coming of Consciousness)
Cat People
Chan Is Missing
The Cheat
The Chechahcos
Chinatown
A Christmas Story
Chulas Fronteras
Cicero March
Citizen Kane
City Lights
The City
Civilization
Clash of the Wolves
Close Encounters of the Third Kind
Cologne: From the Diary of Ray and Esther
"Commandment Keeper Church, Beaufort, South Carolina (May 1940)"
A Computer Animated Hand
The Conversation
Cool Hand Luke
The Cool World
Cops
Corbett-Fitzsimmons Title Fight
A Corner in Wheat
The Court Jester
Crisis: Behind a Presidential Commitment
The Crowd
Cry of Jazz
The Cry of the Children
A Cure for Pokeritis
The Curse of Quon Gwon
Czechoslovakia 1968
D.O.A.
"Dance, Girl, Dance"
Dances with Wolves
Daughter of Dawn
Daughter of Shanghai
Daughters of the Dust
David Holzman’s Diary
The Day the Earth Stood Still
Days of Heaven
Dead Birds
Decasia
The Deer Hunter
Deliverance
Demolishing and Building Up the Star Theatre
Destry Rides Again
Detour
Dickson Experimental Sound Film
Dirty Harry
Disneyland Dream
Do the Right Thing
The Docks of New York
Dodsworth
Dog Day Afternoon
Dog Star Man
Don’t Look Back
Double Indemnity
Down Argentine Way
Dr. Strangelove
Dracula
Dracula (Spanish language version)
The Dragon Painter
Dream of a Rarebit Fiend
Drums of Winter (aka Uksuum Cauyai)
Duck Amuck
Duck and Cover
Duck Soup
E.T. The Extra-Terrestrial
"Eadweard Muybridge, Zoopraxographer"
Early Abstractions
Easy Rider
Eaux d’artifice
Edison Kinetoscopic Record of a Sneeze
El Mariachi
El Norte
Electronic Labyrinth: THX 1138 4EB
Ella Cinders
The Emperor Jones
Empire
The Empire Strikes Back
The Endless Summer
Enter the Dragon
Eraserhead
The Evidence of the Film
The Exiles
The Exorcist
The Exploits of Elaine
A Face in the Crowd
Faces
Fake Fruit Factory
The Fall of the House of Usher
Fantasia
Fargo
Fast Times at Ridgemont High
Fatty’s Tintype Tangle
Felicia
Ferris Bueller's Day Off
Film Portrait
Five Easy Pieces
Flash Gordon Serial
Flesh and the Devil
Flower Drum Song
A Fool There Was
Foolish Wives
Footlight Parade
Forbidden Planet
Force of Evil
The Forgotten Frontier
Forrest Gump
The Four Horsemen of the Apocalypse
Fox Movietone News: Jenkins Orphanage Band
Frank Film
Frankenstein
Freaks
Free Radicals
The French Connection
The Freshman
From Here to Eternity
From Stump to Ship
From the Manger to the Cross
The Front Page
Fuji
Fury
The Gang's All Here
Garlic Is As Good As Ten Mothers
The General
George Stevens’ World War II Footage
Gerald McBoing-Boing
Gertie The Dinosaur
Ghostbusters
Giant
Gigi
Gilda
Glimpse of the Garden
The Godfather Part II
The Godfather
Going My Way
Gold Diggers of 1933
The Gold Rush
Gone With the Wind
Goodfellas
The Graduate
Grand Hotel
The Grapes of Wrath
Grass
The Great Dictator
The Great Train Robbery
Greed
Grey Gardens
Groundhog Day
Growing Up Female
Gun Crazy aka Deadly Is the Female
Gunga Din
H2O
Hail the Conquering Hero
Hallelujah!
Halloween
Hands Up!
"Harlan County, U.S.A."
Harold and Maude
The Heiress
Hell’s Hinges
Heroes All
Hester Street
High Noon
High School
Hindenburg Disaster Newsreel Footage
His Girl Friday
The Hitch-Hiker
The Hole
Hoop Dreams
Hoosiers
Hospital
The Hospital
Hot Dogs for Gauguin
Hours for Jerome: Parts 1 and 2
The House I Live In
The House in the Middle
House of Usher
House of Wax
How Green Was My Valley
How the West Was Won
Humoresque
The Hunters
The Hustler
I Am a Fugitive from a Chain Gang
I Am Joaquin
"I, an Actress"
Imitation of Life
Imitation of Life
The Immigrant
In a Lonely Place
In Cold Blood
In the Heat of the Night
In the Land of the Head Hunters
In the Street
The Incredible Shrinking Man
The Inner World of Aphasia
Into the Arms of Strangers: Stories of the Kindertransport
Intolerance
Invasion of the Body Snatchers
The Invisible Man
The Iron Horse
It
It Happened One Night
It's a Gift
It's a Wonderful Life
The Italian
Jailhouse Rock
Jam Session
Jammin’ the Blues
Jaws
Jazz on a Summer’s Day
The Jazz Singer
Jeffries-Johnson World’s Championship Boxing Contest
Jezebel
John Henry and the Inky-Poo
Johnny Guitar
Judgment at Nuremberg
The Jungle
"Kannapolis, N.C."
The Kid
Kidnapper's Foil
Killer of Sheep
The Killers
King Kong
King of Jazz
King: A Filmed Record... Montgomery to Memphis
The Kiss
Kiss Me Deadly
"Knute Rockne, All American"
Koyaanisqatsi
L.A. Confidential
The Lady Eve
Lady Helen’s Escapade
Lady Windermere’s Fan
Lambchops
The Land Beyond the Sunset
Lassie Come Home
The Last Command
The Last of the Mohicans
The Last Picture Show
"Laura
					
1944
1999"
Lawrence of Arabia
The Lead Shoes
A League of Their Own
The Learning Tree
Let There Be Light
Let’s All Go to the Lobby
Letter from an Unknown Woman
The Life and Death of 9413: a Hollywood Extra
The Life and Times of Rosie the Riveter
The Life of Emile Zola
Little Big Man
Little Caesar
Little Fugitive
Little Miss Marker
Little Nemo
The Living Desert
Lonesome
The Lost Weekend
The Lost World
Louisiana Story
Love Finds Andy Hardy
Love Me Tonight
The Lunch Date
Luxo Jr.
M*A*S*H
Mabel’s Blunder
Magical Maestro
The Magnificent Ambersons
The Magnificent Seven
Make Way for Tomorrow
The Making of an American
Malcolm X
The Maltese Falcon
The Man Who Shot Liberty Valance
The Manchurian Candidate
Manhatta
Manhattan
March of Time: Inside Nazi Germany
The March
Marian Anderson: the Lincoln Memorial Concert
The Mark of Zorro
The Mark of Zorro
Martha Graham Dance Films
Marty
Mary Poppins
Master Hands
Matrimony’s Speed Limit
The Matrix
McCabe & Mrs. Miller
Mean Streets
Medium Cool
Meet Me in St. Louis
Melody Ranch
Memphis Belle
Men and Dust
Meshes of the Afternoon
The Middleton Family at the New York World’s Fair
Midnight
Midnight Cowboy
Mighty Like a Moose
Mildred Pierce
The Miracle of Morgan’s Creek
Miracle on 34th Street
Miss Lulu Bett
Modern Times
Modesta
Mom and Dad
Moon Breath Beat
Morocco
Motion Painting No. 1
A MOVIE
Mr. Smith Goes to Washington
Mrs. Miniver
Multiple SIDosis
The Muppet Movie
The Music Box
The Music Man
My Darling Clementine
My Man Godfrey
The Naked City
The Naked Spur
Nanook of the North
Nashville
National Lampoon’s Animal House
National Velvet
Naughty Marietta
Navajo Film Themselves (Through Navajo Eyes)
The Negro Soldier
Network
Newark Athlete
Nicholas Brothers' Home Movies
A Night at the Opera
The Night of the Hunter
Night of the Living Dead
Ninotchka
No Lies
Norma Rae
North By Northwest
Nostalgia
Notes on the Port of St. Francis
Nothing But a Man
Notorious
"Now, Voyager"
The Nutty Professor
OffOn
Oklahoma!
The Old Mill
On the Bowery
On the Waterfront
Once Upon a Time in the West
One Flew Over the Cuckoo’s Nest
One Froggy Evening
One Survivor Remembers
One Week
Our Daily Bread
Our Day
Our Lady of the Sphere
Out of the Past
The Outlaw Josey Wales
The Ox-Bow Incident
Parable
Pass the Gravy
Paths of Glory
Patton
The Pawnbroker
The Pearl
Peege
The Perils of Pauline
Peter Pan
The Phantom of the Opera
The Philadelphia Story
Pillow Talk
The Pink Panther
Pinocchio
A Place in the Sun
Planet of the Apes
Please Don't Bury Me Alive!
The Plow That Broke the Plains
Point of Order
The Poor Little Rich Girl
Popeye the Sailor Meets Sindbad the Sailor
Porgy and Bess
Porky in Wackyland
Portrait of Jason
The Power and the Glory
The Power of the Press
Powers of Ten
Precious Images
Preservation of the Sign Language
President McKinley Inauguration Footage
Primary
"Princess Nicotine; or, The Smoke Fairy"
The Prisoner of Zenda
The Producers
Psycho
The Public Enemy
Pull My Daisy
Pulp Fiction
Punch Drunks
Pups Is Pups
Quasi at the Quackadero
The Quiet Man
Raging Bull
Raiders of the Lost Ark
A Raisin in the Sun
Rear Window
Rebel Without a Cause
The Red Book
Red Dust
Red River
Regeneration
Reminiscences of a Journey to Lithuania
Republic Steel Strike Riot Newsreel Footage
Return of the Secaucus 7
The Revenge of Pancho Villa
Ride the High Country
The Right Stuff
Rio Bravo
Rip Van Winkle
The River
Road to Morocco
Rocky
The Rocky Horror Picture Show
Roger & Me
Roman Holiday
Rose Hobart
Rosemary's Baby
Ruggles of Red Gap
Sabrina
Safety Last!
Salesman
Salomé
Salt of the Earth
Samsara: Death and Rebirth in Cambodia
"San Francisco Earthquake and Fire, April 18, 1906"
Saturday Night Fever
Saving Private Ryan
Scarface
Schindler’s List
Scratch and Crow
The Searchers
Seconds
Serene Velocity
Sergeant York
Seven Brides for Seven Brothers
Seventh Heaven
The Sex Life of the Polyp
"sex, lies, and videotape"
Shadow of a Doubt
Shadows
Shaft
Shane
The Shawshank Redemption
She Done Him Wrong
"Sherlock, Jr."
Sherman’s March
Shock Corridor
Shoes
The Shop Around the Corner
Show Boat
Show People
Siege
The Silence of the Lambs
Singin' in the Rain
Sink or Swim
Sky High
Slacker
Snow White
Snow White and the Seven Dwarfs
So’s Your Old Man
Some Like It Hot
The Son of the Sheik
Sons of the Desert
The Sound of Music
The Spook Who Sat by the Door
St. Louis Blues
Stagecoach
Stand and Deliver
A Star Is Born
Star Wars
Stark Love
State Fair
Steamboat Willie
The Sting
Stormy Weather
The Story of G.I. Joe
The Story of Menstruation
Stranger Than Paradise
A Streetcar Named Desire
The Strong Man
A Study in Reds
Study of a River
Sullivan’s Travels
Sunrise
Sunset Boulevard
Sweet Smell of Success
Swing Time
Symbiopsychotaxiplasm: Take One
The T.A.M.I. Show
Tabu
Tacoma Narrows Bridge Collapse
The Tall T
Tarantella
Tarzan and His Mate
Taxi Driver
The Tell-Tale Heart
The Ten Commandments
The Terminator
Tess of the Storm Country
Tevye
Theodore Case Sound Test: Gus Visser and His Singing Duck
There It Is
They Call It Pro Football
The Thief of Bagdad
The Thin Blue Line
The Thin Man
The Thing from Another World
Think of Me First as a Person
This Is Cinerama
This Is Spinal Tap
The Three Little Pigs
Michael Jackson’s Thriller
A Time for Burning
A Time Out of War
The Times of Harvey Milk
Tin Toy
To Be or Not to Be
To Fly!
To Kill a Mockingbird
Tol’able David
"Tom, Tom, the Piper's Son"
Tootsie
Top Gun
Top Hat
Topaz
Touch of Evil
Toy Story
Traffic in Souls
Trance and Dance in Bali
The Treasure of the Sierra Madre
A Tree Grows in Brooklyn
A Trip Down Market Street
Trouble in Paradise
Tulips Shall Grow
Twelve O’Clock High
Twentieth Century
Two-Color Kodachrome Test Shots No. III
Two-Lane Blacktop
Uncle Tom's Cabin
Under Western Stars
Unforgiven
Unmasked
"V-E Day +1 (May 9, 1945)"
Verbena tragica
Vertigo
A Virtuous Vamp
War of the Worlds
Water and Power
The Way of Peace
The Wedding March
West Side Story
Westinghouse Works 1904
"What’s Opera, Doc?"
Where Are My Children?
White Fawn’s Devotion
White Heat
Who’s Afraid of Virginia Woolf?
Why Man Creates
Why We Fight
Wild and Woolly
Wild Boys of the Road
The Wild Bunch
Wild River
Will Success Spoil Rock Hunter?
Willy Wonka and the Chocolate Factory
Winchester '73
The Wind
Wings
The Wishing Ring: an Idyll of Old England
Within Our Gates
The Wizard of Oz
Woman of the Year
A Woman Under the Influence
The Women
Woodstock
Wuthering Heights
Yankee Doodle Dandy
Young Frankenstein
Young Mr. Lincoln
Zapruder Film
